id,name,duration,artist_name,is_explicit,popularity
4SuA85PaD8GFTPYwKNYDe1,Maa,310664,Shankar Mahadevan,False,51
0tgVpDi06FyKpA1z0VMD4v,Perfect,263400,Ed Sheeran,False,86
57HJgtuhzFDisGw4CIDCTM,Falling in Love,216131,V. Hari Krishna,False,9
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),398799,Jeet Gannguli,False,62
1ccZZf0IQi5y0bHMl2aGDF,Gulabi Aankhen,197759,Sanam,False,59
5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,241668,KK,False,66
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,258266,Coldplay,False,81
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,The Weeknd,False,94
038gnuPve7s8rADCEDYsMH,Paravashanadenu,235833,Sonu Nigam,False,44
1D4PL9B8gOg78jiHg3FvBb,Love Story,236266,Taylor Swift,False,76
5QtQFSdyZEl0w4iDxAyv76,Namo Namo,322250,Amit Trivedi,False,67
2ui7wDCbEB2WslvWsuVh9g,Nagutha Nagutha Baalu,285074,Rajkumar,False,32
251PNRmJU9KcUnFQAB5t6I,Kal Ho Naa Ho,321240,Shankar-Ehsaan-Loy,False,62
06h11IWM4YM81SG6c48fWw,Kushalave Kshemave,289791,Srinivas,False,27
2p3FNvGseslafm6buZrYiu,Thanmayaladenu,257906,Shreya Ghoshal,False,38
1baHxgYktT8eDdmtTozJF9,Enjoy Enjaami,279500,Dhee,False,71
6bdpj89aYEBjhpsenXAsmO,Enna Sona,213632,A.R. Rahman,False,64
4km0RUkMMFdx8iDuq36o2w,Janam Janam,237896,Arijit Singh,False,58
7bUVXo7JQK8LHAMiVXUeKy,Nenapina Hudugiye,181935,B. Ajaneesh Loknath,False,35
65uoaqX5qcjXZRheAj1qQT,Dernière danse,213493,Indila,False,73
7eKVt9CXQY13qgoNFJtnbv,Chanda Avalu,180512,Midhun Mukundan,False,20
1XFZMenJ30FfGOsj8X5sqf,Khulke Jeene Ka,246741,A.R. Rahman,False,59
0i5KYCaQs1xY7z9MWCFoXW,Life Of Ram - Telugu,364375,Pradeep Kumar,False,57
1ycq2btx7kf6bXdWILZhXa,Bezubaan,341177,Anupam Roy,False,48
6nZiYSBwPQ7fYnVWkkkj4g,Kho Gaye Hum Kahan,213055,Jasleen Royal,False,66
2qJAzSE6uC94oH2NRoPrGl,London Thumakda,230468,Labh Janjua,False,53
698ItKASDavgwZ3WjaWjtz,Faded,212106,Alan Walker,False,79
2iAReo5L21EcuI5Uh4xsy3,Baanali Badalago,288853,Sonu Nigam,False,38
4N9ZsXBbvtapu6Om3zhoQz,Enddu Banigella Habba,305110,K. S. Chithra,False,19
6GwjeSBaJ7C8yZXklaXXY1,Sunny Sunny,243319,Yo Yo Honey Singh,False,49
