id,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4SuA85PaD8GFTPYwKNYDe1,4,0.392,0.256,0,-13.147,1,0.0369,0.728,9.46e-05,0.0462,0.154,67.609
0tgVpDi06FyKpA1z0VMD4v,3,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05
57HJgtuhzFDisGw4CIDCTM,1,0.922,0.567,9,-8.18,0,0.0616,0.619,1.62e-06,0.0696,0.836,135.064
3HiobOOpSpMsi95WBKPBYk,4,0.223,0.359,0,-7.569,1,0.0312,0.845,0,0.133,0.193,73.059
1ccZZf0IQi5y0bHMl2aGDF,4,0.636,0.647,0,-6.97,0,0.0436,0.422,0,0.251,0.44,105.914
5FXMRdJjKq1BIX4e8Eg9mK,4,0.697,0.438,8,-8.411,1,0.0289,0.397,0,0.293,0.58,117.954
3RiPr603aXAoi4GHyXx0uy,4,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027
0VjIjW4GlUZAMYd2vXMi3b,4,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
038gnuPve7s8rADCEDYsMH,4,0.635,0.299,1,-13.585,0,0.0384,0.72,5.69e-05,0.132,0.402,83.983
1D4PL9B8gOg78jiHg3FvBb,4,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984
5QtQFSdyZEl0w4iDxAyv76,4,0.648,0.711,4,-6.216,1,0.0304,0.436,0,0.121,0.33,119.935
2ui7wDCbEB2WslvWsuVh9g,4,0.713,0.588,4,-4.673,0,0.0294,0.67,0.0115,0.13,0.741,109.864
251PNRmJU9KcUnFQAB5t6I,4,0.532,0.529,0,-8.402,1,0.0352,0.334,0.000144,0.078,0.295,81.989
06h11IWM4YM81SG6c48fWw,4,0.679,0.688,7,-10.592,1,0.0469,0.287,1.11e-05,0.193,0.582,94.974
2p3FNvGseslafm6buZrYiu,4,0.566,0.403,1,-10.642,0,0.0336,0.621,8.45e-05,0.113,0.113,80.92
1baHxgYktT8eDdmtTozJF9,4,0.856,0.709,3,-7.432,0,0.222,0.349,0.000209,0.225,0.856,110.009
6bdpj89aYEBjhpsenXAsmO,4,0.717,0.416,7,-9.875,0,0.0303,0.635,1.43e-06,0.0976,0.381,100.026
4km0RUkMMFdx8iDuq36o2w,3,0.301,0.581,11,-7.324,0,0.0422,0.602,0,0.0757,0.235,132.051
7bUVXo7JQK8LHAMiVXUeKy,3,0.55,0.477,0,-7.713,0,0.0433,0.696,6.71e-06,0.0762,0.451,139.118
65uoaqX5qcjXZRheAj1qQT,4,0.669,0.449,0,-7.658,0,0.0489,0.184,0,0.0729,0.327,114.926
7eKVt9CXQY13qgoNFJtnbv,3,0.667,0.255,3,-7.257,0,0.151,0.299,1.37e-06,0.0713,0.718,114.97
1XFZMenJ30FfGOsj8X5sqf,4,0.676,0.544,7,-10.893,1,0.0568,0.566,0,0.341,0.533,88.969
0i5KYCaQs1xY7z9MWCFoXW,4,0.661,0.559,4,-8.829,0,0.0508,0.21,0.000118,0.116,0.388,90.009
1ycq2btx7kf6bXdWILZhXa,4,0.403,0.56,2,-7.46,1,0.0362,0.354,5.71e-06,0.125,0.168,155.701
6nZiYSBwPQ7fYnVWkkkj4g,4,0.778,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.033
2qJAzSE6uC94oH2NRoPrGl,4,0.835,0.718,0,-6.614,1,0.0818,0.363,0.000919,0.0625,0.64,139.964
698ItKASDavgwZ3WjaWjtz,4,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642
2iAReo5L21EcuI5Uh4xsy3,4,0.597,0.525,5,-6.663,1,0.0375,0.479,0,0.132,0.47,119.954
4N9ZsXBbvtapu6Om3zhoQz,4,0.77,0.985,4,-3.246,0,0.302,0.384,0.000365,0.0917,0.427,119.97
6GwjeSBaJ7C8yZXklaXXY1,4,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978
